segment,Avg_Recency,Avg_Frequency,Avg_Monetary,Count,Segment_Label
0,450.2008084496023,1.0,175.13761811622564,23007,Lost Customers
1,86.27636915265781,1.0,206.4026605987434,32301,Loyal Customers
2,241.13945636136648,1.0,108.58886931108826,35244,At-Risk Customers
3,220.9964349376114,2.1122994652406417,320.4820463458106,2805,At-Risk Customers
